
knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 32, 0, 0.968538, 0.986895, 0.977181, 2604422196.84375, 83341510299, 84047873980
3, 32, 1, 0.93762498120643655852290976326912642, 0.98718487394957965541664179909275845, 0.96129474822858196336738956233602948, 2604422196.84375, 83341510299, 84047873980
3, 32, 2, 0.97827351431775055878858893265714869, 0.92826704545454541417370819544885308, 0.95183461202316776983423096680780873, 2604422196.84375, 83341510299, 84047873980
3, 32, 3, 0.95145975639693380898620489460881799, 0.94543850806451612545089346895110793, 0.94777112371645699795408290810883045, 2604422196.84375, 83341510299, 84047873980
3, 32, 4, 0.96746714893201435359060269547626376, 0.95168010752688148023992198432097211, 0.95877189111401328602823923574760556, 2604422196.84375, 83341510299, 84047873980
3, 32, 5, 0.94668647051589904783952533762203529, 0.94596674876847297586124341250979342, 0.94521735382624860744016359603847377, 2604422196.84375, 83341510299, 84047873980
3, 32, 6, 0.96408852305584991082554324748343788, 0.98506804435483896753567023552022874, 0.9740659728027936115068996514310129, 2604422196.84375, 83341510299, 84047873980
3, 32, 7, 0.93375844677605501775730090230354108, 0.95966500946969701679734043864300475, 0.94593611075503181151447051888681017, 2604422196.84375, 83341510299, 84047873980
3, 32, 8, 0.98326592608381391258376424957532436, 0.89583333333333325931846502498956397, 0.93671421444257807475963772958493792, 2604422196.84375, 83341510299, 84047873980
3, 32, 9, 0.91574051943454914948006262420676649, 0.93359374999999966693309261245303787, 0.92350591980459095786670786765171215, 2604422196.84375, 83341510299, 84047873980

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 33, 0, 0.969414, 0.986869, 0.977695, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 1, 0.93712277965022150461038563662441447, 0.98630691946199966491093391596223228, 0.96049009827203635225600919511634856, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 2, 0.97993461340967924488865037346840836, 0.93010752688172038116221074233180843, 0.95371431110896887073380412402912043, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 3, 0.95439502394325925749285488564055413, 0.94437927663734089200886501203058288, 0.94863752451269278687107089353958145, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 4, 0.97001160622360083074511294398689643, 0.94834552420759310464859481726307422, 0.9582165210483657435958093628869392, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 5, 0.94486438095679803339521640737075359, 0.95129870129870119921378091021324508, 0.94716234678425781368105162982828915, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 6, 0.96192666173895324810416695981984958, 0.98403388725969354045020054400083609, 0.97248053553902502610384317449643277, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 7, 0.93902020912090022886076212671468966, 0.95674486803519065425405187852447852, 0.94683293479890373589569207979366183, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 8, 0.98278340008225051338541788936709054, 0.8997984773846841033417831567930989, 0.93874739269530560470400359918130562, 2532960611.454545497894287109375, 83587700178, 84316019605
3, 33, 9, 0.91287128239449721878173704681103118, 0.93662430759204939878515006057568826, 0.9235745977122443717277633368212264, 2532960611.454545497894287109375, 83587700178, 84316019605

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 34, 0, 0.970057, 0.987018, 0.978141, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 1, 0.93799024374562933736854120070347562, 0.98540552584670226821117466897703707, 0.96069466597066865976017879802384414, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 2, 0.97840045592286628561851102858781815, 0.93304870335230860600717051056562923, 0.95470118165951001198976655359729193, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 3, 0.95242051245167447248718417540658265, 0.94540229885057480707644117501331493, 0.94812718817581942420957830108818598, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 4, 0.96770364261236452296799370742519386, 0.9484207476093885480494805051421281, 0.95753101811568863688250985433114693, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 5, 0.94825660591380633857028215061291121, 0.95039383274677380342154719983227551, 0.94872939378878751170987015939317644, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 6, 0.96271752534030663461805943370563909, 0.98607167004732920734255685601965524, 0.97366947643737922213347246724879369, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 7, 0.93849272702662756007185862472397275, 0.96252371916508516758170799221261404, 0.94991285480101883553771813240018673, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 8, 0.98562619129049167110423468329827301, 0.89985994397759094809430280292872339, 0.9399607660881338366820614282914903, 2461047626.8823528289794921875, 83675619314, 84423086930
3, 34, 9, 0.91729859883077491389258284470997751, 0.93569979716024320737233210820704699, 0.92543560213051201390754840758745559, 2461047626.8823528289794921875, 83675619314, 84423086930

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 35, 0, 0.969352, 0.98677, 0.977501, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 1, 0.93945826082143502055998851574258879, 0.98626152073732731295763187517877668, 0.9616732543851788106437084024946671, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 2, 0.97660637217247725505586686267633922, 0.92827586206896506304531158093595877, 0.95105872397471769019716703041922301, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 3, 0.95441462089622741693517582461936399, 0.94370161857846590613974058214807883, 0.94820040172768338404551968778832816, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 4, 0.96977647056464733044123249783297069, 0.95245653817082387426751211023656651, 0.96037194766147426783220453216927126, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 5, 0.94684211130088180574659872945630923, 0.95371428571428562559475494708749466, 0.94947694138443627931422952315188013, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 6, 0.96269725242711101653725336291245185, 0.98504574243490494733777040892164223, 0.97306589791353148566344088976620696, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 7, 0.93540789068180596466106635489268228, 0.96052545155993396264193506794981658, 0.946729290765562447873548990173731, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 8, 0.98156638531761108978912488964851946, 0.89674981103552542371915023977635428, 0.93572490449713130455933196572004817, 2394638656.171428680419921875, 83812352966, 84587025306
3, 35, 9, 0.92012356498096015133825176235404797, 0.93501055594651649727211406570859253, 0.92604146437478540576648811111226678, 2394638656.171428680419921875, 83812352966, 84587025306

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 36, 0, 0.968548, 0.986919, 0.977288, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 1, 0.94097364346998324524662393741891719, 0.98724611708482667982167413356364705, 0.96301107030527655084028992860112339, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 2, 0.97955791724948815257789647148456424, 0.926309067688377840710245436639525, 0.95142639013508778500494145191623829, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 3, 0.95087927419279394403162086746306159, 0.94653119868637147771295303755323403, 0.94799241567410930109360833739629015, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 4, 0.96962847373287985863754556703497656, 0.94931149097815770154795700364047661, 0.9585088632593607993470641304156743, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 5, 0.94622106914377468456223141402006149, 0.95047008547008582368675888574216515, 0.94768715673692915935077962785726413, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 6, 0.96206684022157973323885471472749487, 0.98504556143445021199056554905837402, 0.97300609375697122427339991190820001, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 7, 0.93781778210299648890213575214147568, 0.96144636015325646294371608746587299, 0.9488267439293216476414727367227897, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 8, 0.98440243197489563087287933740299195, 0.89901867679645441899793922857497819, 0.9383501076343024882575605261081364, 2331409286.638888835906982421875, 83930734319, 84736514891
3, 36, 9, 0.91730420752439145726242486489354633, 0.93860229276895934535929200137616135, 0.92662928225280616345571615966036916, 2331409286.638888835906982421875, 83930734319, 84736514891

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 37, 0, 0.970237, 0.987834, 0.978616, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 1, 0.93834099939413029289880796568468213, 0.98633115874495169705937769322190434, 0.96118386248787879289068314392352477, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 2, 0.97823610271886130007601423130836338, 0.93003594727732652458485063107218593, 0.9528156160950734809844675510248635, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 3, 0.95394469560626415916004816608619876, 0.94530244530244522671580398309743032, 0.9486939281902950771296900711604394, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 4, 0.96834534231085933608795812688185833, 0.95033495033495007930923748062923551, 0.95848238122219409085289498761994764, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 5, 0.94908855821899318350176599778933451, 0.95121621621621643694055592277436517, 0.94963401818756743022476030091638677, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 6, 0.96139263553056664157736577180912718, 0.9860217360217358173457569137099199, 0.97315564962039613483568700758041814, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 7, 0.93744739679111188657145703473361209, 0.95955931300758889879176649628789164, 0.94780318697080223611095561864203773, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 8, 0.98200628004975820672939335054252297, 0.9002494802494804826409335873904638, 0.93841905757670041055007459362968802, 2271216640.21621608734130859375, 84035015688, 84902676851
3, 37, 9, 0.91864066191652371529130505223292857, 0.93570493570493551427347256321809255, 0.92606206825203241095323392073623836, 2271216640.21621608734130859375, 84035015688, 84902676851

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 38, 0, 0.971057, 0.983843, 0.977002, 2214686445.5, 84158084929, 85063338902
3, 38, 1, 0.93754434157184274312157867825590074, 0.98622634171635981115144886643975042, 0.9607275005372607479259272622584831, 2214686445.5, 84158084929, 85063338902
3, 38, 2, 0.97665393959404844803628975569154136, 0.92721386800334104627552278543589637, 0.95040940639281668023130578148993663, 2214686445.5, 84158084929, 85063338902
3, 38, 3, 0.95336194154705933279103646782459691, 0.9483805668016187517821435903897509, 0.95025353684612778870643978734733537, 2214686445.5, 84158084929, 85063338902
3, 38, 4, 0.96825578904526266033059300752938725, 0.95133603238866448759125660217250697, 0.95885099173400123451216359171667136, 2214686445.5, 84158084929, 85063338902
3, 38, 5, 0.94978721570826829534439639246556908, 0.95132532418001503060622781049460173, 0.94964209560029322343410740359104238, 2214686445.5, 84158084929, 85063338902
3, 38, 6, 0.96186492978688964416988937955466099, 0.98508022192232702618497341973125003, 0.97296765010677843665831687758327462, 2214686445.5, 84158084929, 85063338902
3, 38, 7, 0.93628970568772074134500371656031348, 0.95948203842940693597540757764363661, 0.94661439142982051198060844399151392, 2214686445.5, 84158084929, 85063338902
3, 38, 8, 0.97968813393840481484886595353600569, 0.89684210526315844003164556852425449, 0.9353224195945391006290492441621609, 2214686445.5, 84158084929, 85063338902
3, 38, 9, 0.91797038476437986531664137146435678, 0.93376068376068355192387571150902659, 0.92436760526774386370618685759836808, 2214686445.5, 84158084929, 85063338902

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 39, 0, 0.969929, 0.986864, 0.977818, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 1, 0.93933559479768180544567712786374614, 0.98629531388152080761955176058108918, 0.96170182511412605208533932454884052, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 2, 0.97865445286811514336022810311987996, 0.93023595587698160169765060345525853, 0.95325822103496848924919504497665912, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 3, 0.95287749287749301529970580304507166, 0.94564102564102536785384245376917534, 0.94848194852931133613793690528837033, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 4, 0.96694586721342601354223234011442401, 0.95038461538461549427125873990007676, 0.95817072928462176939490291260881349, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 5, 0.94964376409749862162357203487772495, 0.94932181345224841972907370291068219, 0.94887850229173609228894292755285278, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 6, 0.96219691694492726075083055548020639, 0.98512820512820520324481776697211899, 0.97303188539925877797998055029893294, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 7, 0.93503933042936471231598716258304194, 0.96051574256702421106268730000010692, 0.94666910527055536661578116763848811, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 8, 0.98272188049780029306390360943623818, 0.9001282051282050167273496299458202, 0.93843750250495239217940479647950269, 2156692527.794871807098388671875, 84111008584, 85039789673
3, 39, 9, 0.91840848790467677353888120705960318, 0.93285996055226860779185926730860956, 0.92396595282717353114776415168307722, 2156692527.794871807098388671875, 84111008584, 85039789673

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 40, 0, 0.970452, 0.986833, 0.978153, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 1, 0.94131727689530875213819172131479718, 0.98624338624338603320751417413703166, 0.96232024949260264179429213982075453, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 2, 0.98085069698056948084285977529361844, 0.93037749287749282878223766601877287, 0.95382410683264462480934753330075182, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 3, 0.95512593344658558436321982298977673, 0.94646153846153890931702790112467483, 0.9497151554075031754109659232199192, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 4, 0.96818102006688955274427144104265608, 0.95154166666666684104569640112458728, 0.95879509292153508592804200816317461, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 5, 0.94827191286973877559773882239824161, 0.95583003952569123296001407652511261, 0.95122719679564171624264190540998243, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 6, 0.96248799348799374264729067363077775, 0.98615384615384638067325795418582857, 0.97362681444130638741540906266891398, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 7, 0.93988172376895917636829835828393698, 0.96057692307692266187046925551840104, 0.94911966318692753130648043224937283, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 8, 0.98429194899303573684790080733364448, 0.89796195652173904644399726748815738, 0.93823578425586029450045089106424712, 2104674609.9500000476837158203125, 84186984398, 85139724967
3, 40, 9, 0.91780261678999419672209114651195705, 0.93754166666666693963350098783848807, 0.92654170590819151520634022745070979, 2104674609.9500000476837158203125, 84186984398, 85139724967

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 41, 0, 0.969788, 0.986789, 0.977697, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 1, 0.93985506938245755303995565554942004, 0.98638037662427879848081602176534943, 0.96180554717847521750684336439007893, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 2, 0.97775629970751887221069864608580247, 0.92930581613508489446928706456674263, 0.95212650755301553306964024159242399, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 3, 0.95205681224239024906808026571525261, 0.94642276422764226584405378162045963, 0.9482916583419644940278203648631461, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 4, 0.96674285358802858336702001906814985, 0.94936373276776253593567389543750323, 0.95700474266260449063281612325226888, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 5, 0.9472045183333342999176807097683195, 0.94837559047527208999639469766407274, 0.94683572544139715798650058786734007, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 6, 0.96431311236189287683373549953103065, 0.98512195121951218190758936543716118, 0.97415382791174853771565267379628494, 2055996921.3170731067657470703125, 84295873774, 85268240138
3, 41, 7, 0.93692886819939125153666736878221855, 0.96240150093808674025552818420692347, 0.94880361456148298859858414289192297, 2055996921.3170731067657470703125, 84295873774, 85268240138
