iters,tiempo,0,1,2,3,4,5,6,7,8,9,10
20,20116777740,0.963546,0.98204,0.922915,0.910417,0.888743,0.927532,0.982558,0.920885,0.874195,0.895326,0.928173
25,20732661555,0.965578,0.983839,0.92109,0.908333,0.903431,0.925431,0.978682,0.918901,0.869975,0.893277,0.92818
30,22210835460,0.965578,0.983839,0.919252,0.908333,0.911817,0.923294,0.982558,0.920885,0.87416,0.895361,0.929776
35,21530845709,0.965578,0.983839,0.922928,0.90625,0.901331,0.929704,0.984496,0.916917,0.87416,0.897444,0.929574
40,22901803226,0.961546,0.983839,0.917427,0.908333,0.899247,0.925413,0.98062,0.922869,0.867892,0.897444,0.927781
45,22000203484,0.965595,0.983839,0.919279,0.904167,0.903466,0.925413,0.982558,0.918901,0.872094,0.899545,0.928783
50,23886951407,0.969627,0.983839,0.92109,0.904167,0.905532,0.921157,0.98062,0.918901,0.878379,0.889093,0.928579
55,24020652289,0.965578,0.983839,0.92109,0.90625,0.909734,0.923294,0.982558,0.918901,0.872076,0.893277,0.928981
60,23014009954,0.965578,0.983839,0.919265,0.904167,0.907633,0.919021,0.982558,0.916917,0.87416,0.895378,0.92818
65,23125760508,0.965578,0.983839,0.92109,0.904167,0.907633,0.925431,0.982558,0.918901,0.874177,0.901628,0.929777
70,24141114052,0.967611,0.983839,0.919252,0.904167,0.905532,0.923294,0.982558,0.918901,0.874177,0.897461,0.928978
75,23889840043,0.965578,0.983839,0.922928,0.904167,0.907633,0.921157,0.982558,0.918901,0.874177,0.897461,0.929179
80,24966189891,0.967611,0.983839,0.92109,0.904167,0.907633,0.921157,0.982558,0.916917,0.872076,0.897461,0.928779
85,25060953565,0.967611,0.983839,0.919252,0.904167,0.907633,0.919021,0.98062,0.918901,0.872076,0.897461,0.92838
90,25860541559,0.967611,0.983839,0.92109,0.904167,0.907633,0.923294,0.982558,0.916917,0.872076,0.897461,0.92898
95,24465250319,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
100,26429302287,0.967611,0.983839,0.919252,0.904167,0.907633,0.921157,0.98062,0.918901,0.872076,0.899545,0.928779
105,26154919820,0.967611,0.983839,0.92109,0.904167,0.905532,0.923294,0.982558,0.918901,0.872076,0.899545,0.929178
110,31653384904,0.967611,0.983839,0.92109,0.904167,0.907633,0.921157,0.982558,0.918901,0.872076,0.897461,0.92898
115,30648237146,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
120,25340074913,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
125,25506647261,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
130,25791573201,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
135,26053060861,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
140,26393270501,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
145,26689896150,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
150,26942976972,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
155,27240155252,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
160,27471230111,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
165,27805596495,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
170,28099558733,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
175,28418779652,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928379
180,28638180430,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
185,29504005350,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
190,30695843370,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
195,31976600704,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
200,34108306802,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
205,33408886851,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
210,32479726918,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
215,34439099308,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
220,34857939534,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
225,33016916083,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
230,34570893657,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
235,33289754275,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
240,33657779341,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
245,33966931884,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
250,37741352757,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
255,36787311884,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
260,34258130266,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
265,33781174654,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
270,35356484576,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
275,35074258356,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
280,36058896650,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
285,38399965121,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
290,40076028560,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
295,41916045065,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
300,42055294681,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
5,19888454693,0.965644,0.983839,0.919265,0.883333,0.895098,0.931823,0.984496,0.916917,0.855322,0.878624,0.922987
10,19682560748,0.963562,0.98204,0.917427,0.90625,0.903466,0.923312,0.982558,0.918916,0.882546,0.891194,0.928381
15,19374571042,0.965578,0.98204,0.921103,0.9125,0.886695,0.923276,0.978682,0.920885,0.87416,0.895361,0.927383
20,19717085651,0.965578,0.983839,0.922928,0.908333,0.903414,0.929704,0.978682,0.916917,0.876261,0.891176,0.928977
25,19939331990,0.961546,0.983839,0.922928,0.902083,0.899282,0.921157,0.98062,0.918885,0.88048,0.89326,0.927782
30,20311918886,0.961546,0.983839,0.92109,0.902083,0.895028,0.921157,0.98062,0.920885,0.876278,0.889076,0.926583
35,21108331664,0.965578,0.983839,0.922928,0.90625,0.90555,0.927568,0.982558,0.916917,0.874177,0.897461,0.92958
40,21453271044,0.961546,0.983839,0.921103,0.902083,0.899265,0.936079,0.98062,0.916917,0.874195,0.899545,0.928784
45,21813426008,0.965578,0.983839,0.922928,0.90625,0.905515,0.927568,0.982558,0.916917,0.87416,0.899527,0.929776
50,22176340517,0.963562,0.983839,0.922928,0.902083,0.907651,0.92755,0.982558,0.918901,0.872076,0.897426,0.929179
55,22325241552,0.965578,0.983839,0.917414,0.904167,0.909734,0.921157,0.984496,0.918901,0.87416,0.897461,0.928977
60,22711973645,0.967611,0.983839,0.92109,0.904167,0.909716,0.923294,0.984496,0.916917,0.876261,0.899545,0.929976
65,23052398413,0.967611,0.983839,0.917427,0.90625,0.907633,0.923294,0.984496,0.916917,0.876261,0.897461,0.929377
70,23573863287,0.965578,0.983839,0.92109,0.904167,0.907633,0.921157,0.982558,0.916917,0.872076,0.895378,0.928379
75,23383670064,0.967611,0.983839,0.919252,0.904167,0.905515,0.919021,0.984496,0.918901,0.876261,0.899545,0.929176
80,23918171521,0.963562,0.983839,0.91744,0.902083,0.8993,0.921139,0.982558,0.918901,0.872094,0.899545,0.927385
85,23904956551,0.967611,0.983839,0.919252,0.904167,0.905532,0.923294,0.982558,0.918901,0.869975,0.897461,0.928579
90,24270976213,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.928579
95,24882747397,0.967611,0.983839,0.919252,0.904167,0.907616,0.921157,0.984496,0.918901,0.87416,0.899545,0.929375
100,25254909288,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
105,25598608834,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928379
110,26007002532,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
115,25898210803,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
120,26181456013,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
