k,clase,precision,recall,f1,tiempo
25,3,0.917086,0.929634,0.923238,2.19111e+10
25,4,0.955902,0.894521,0.924155,2.19111e+10
25,5,0.939633,0.909502,0.924304,2.19111e+10
25,6,0.946574,0.970092,0.958159,2.19111e+10
25,7,0.916244,0.915303,0.915762,2.19111e+10
25,8,0.974396,0.838918,0.901507,2.19111e+10
25,9,0.850647,0.914566,0.881357,2.19111e+10
26,0,0.952013,0.97881,0.965206,2.08014e+10
26,1,0.829038,0.990873,0.902718,2.08014e+10
26,2,0.984761,0.865067,0.921015,2.08014e+10
26,3,0.915283,0.929634,0.922327,2.08014e+10
26,4,0.957008,0.892451,0.923536,2.08014e+10
26,5,0.939421,0.906188,0.922493,2.08014e+10
26,6,0.945597,0.969092,0.957171,2.08014e+10
26,7,0.916336,0.916264,0.916288,2.08014e+10
26,8,0.974311,0.835758,0.899627,2.08014e+10
26,9,0.849944,0.914566,0.880948,2.08014e+10
27,0,0.95111,0.979822,0.965237,2.16267e+10
27,1,0.826508,0.990873,0.901217,2.16267e+10
27,2,0.985815,0.863151,0.920387,2.16267e+10
27,3,0.916081,0.928642,0.922261,2.16267e+10
27,4,0.957991,0.893479,0.924561,2.16267e+10
27,5,0.940358,0.903975,0.921799,2.16267e+10
27,6,0.944658,0.968096,0.95619,2.16267e+10
27,7,0.916323,0.916268,0.916279,2.16267e+10
27,8,0.970834,0.835762,0.89813,2.16267e+10
27,9,0.850665,0.914566,0.881373,2.16267e+10
28,0,0.950172,0.979822,0.964754,1.97396e+10
28,1,0.823958,0.990873,0.899717,1.97396e+10
28,2,0.984736,0.861235,0.918808,1.97396e+10
28,3,0.91418,0.926662,0.920307,1.97396e+10
28,4,0.956924,0.891417,0.922933,1.97396e+10
28,5,0.939268,0.903971,0.92127,1.97396e+10
28,6,0.945595,0.968096,0.956663,1.97396e+10
28,7,0.916362,0.916268,0.916289,1.97396e+10
28,8,0.970736,0.832602,0.896236,1.97396e+10
28,9,0.849707,0.913562,0.880409,1.97396e+10
29,0,0.949125,0.977802,0.963242,2.16047e+10
29,1,0.821468,0.990873,0.898231,2.16047e+10
29,2,0.984697,0.858366,0.917143,2.16047e+10
29,3,0.913097,0.924682,0.918786,2.16047e+10
29,4,0.955882,0.890384,0.921872,2.16047e+10
29,5,0.939218,0.903975,0.921256,2.16047e+10
29,6,0.94476,0.969092,0.956717,2.16047e+10
29,7,0.9163,0.915307,0.91577,2.16047e+10
29,8,0.97067,0.830497,0.894978,2.16047e+10
29,9,0.847324,0.912553,0.878616,2.16047e+10
30,0,0.948191,0.977802,0.962761,1.95397e+10
30,1,0.820203,0.990873,0.897478,1.95397e+10
30,2,0.983656,0.858366,0.916679,1.95397e+10
30,3,0.912236,0.924682,0.918342,1.95397e+10
30,4,0.95812,0.891417,0.923435,1.95397e+10
30,5,0.940249,0.902874,0.92118,1.95397e+10
30,6,0.942895,0.969092,0.95577,1.95397e+10
30,7,0.9163,0.915307,0.91577,1.95397e+10
30,8,0.970516,0.826291,0.892485,1.95397e+10
30,9,0.846448,0.911549,0.877676,1.95397e+10
31,0,0.947164,0.975782,0.96125,2.08968e+10
31,1,0.818334,0.990873,0.896357,2.08968e+10
31,2,0.983622,0.855499,0.915022,2.08968e+10
31,3,0.909525,0.923693,0.916465,2.08968e+10
31,4,0.958092,0.891417,0.923426,2.08968e+10
31,5,0.939015,0.899565,0.918856,2.08968e+10
31,6,0.941969,0.969092,0.955298,2.08968e+10
31,7,0.915437,0.91531,0.915324,2.08968e+10
31,8,0.970416,0.823131,0.890578,2.08968e+10
31,9,0.846785,0.913566,0.878784,2.08968e+10
32,0,0.946316,0.976794,0.961297,1.98348e+10
32,1,0.815253,0.990873,0.894512,1.98348e+10
32,2,0.985729,0.853584,0.914826,1.98348e+10
32,3,0.912096,0.922709,0.917264,1.98348e+10
32,4,0.954704,0.889347,0.920749,1.98348e+10
32,5,0.936846,0.898454,0.917219,1.98348e+10
32,6,0.941972,0.969092,0.9553,1.98348e+10
32,7,0.913477,0.913387,0.913386,1.98348e+10
32,8,0.972769,0.824181,0.892212,1.98348e+10
32,9,0.847631,0.914578,0.879729,1.98348e+10
33,0,0.946273,0.975786,0.960782,2.19293e+10
33,1,0.813402,0.990873,0.893403,2.19293e+10
33,2,0.984603,0.849756,0.912141,2.19293e+10
33,3,0.906074,0.923697,0.914668,2.19293e+10
33,4,0.956788,0.889347,0.921761,2.19293e+10
33,5,0.937737,0.895141,0.915897,2.19293e+10
33,6,0.941972,0.969092,0.9553,2.19293e+10
33,7,0.913391,0.912418,0.912866,2.19293e+10
33,8,0.972723,0.822071,0.890926,2.19293e+10
33,9,0.847779,0.916586,0.880768,2.19293e+10
34,0,0.945332,0.975786,0.960301,2.08559e+10
34,1,0.812199,0.990873,0.892673,2.08559e+10
34,2,0.985627,0.848794,0.912026,2.08559e+10
34,3,0.905219,0.923697,0.914225,2.08559e+10
34,4,0.956629,0.886244,0.92004,2.08559e+10
34,5,0.937723,0.895145,0.915909,2.08559e+10
34,6,0.942854,0.969092,0.955763,2.08559e+10
34,7,0.914297,0.912418,0.913308,2.08559e+10
34,8,0.972702,0.821016,0.890278,2.08559e+10
34,9,0.844542,0.916582,0.879049,2.08559e+10
