cant_entrenemiento,clase,precision,recall,f1,tiempo_por_fold,tiempo_total_knn,tiempo_total_fold
6000,1,0.91569011632833186009605697108781897,0.99083916083916090400407483684830368,0.95169808111699816244311023183399811,2817253447.80000019073486328125,28172534478,28300777904
6000,2,0.97806163327484973990522121312096715,0.90706293706293705803034299606224522,0.94014330724449557408206601394340396,2817253447.80000019073486328125,28172534478,28300777904
6000,3,0.92797399767233135214894446107791737,0.95543541788427810423911523685092106,0.94115338451175012401961339492117986,2817253447.80000019073486328125,28172534478,28300777904
6000,4,0.95599125348671631918762159330071881,0.93055051421657586363522796091274358,0.9427810017635284145498530961049255,2817253447.80000019073486328125,28172534478,28300777904
6000,5,0.95561892067470655121042000246234238,0.9357912457912457293573993410973344,0.94507839969873652652410100927227177,2817253447.80000019073486328125,28172534478,28300777904
6000,6,0.96386973870775938255661685616360046,0.98215230037017453579295533927506767,0.97262176796513166721069865161553025,2817253447.80000019073486328125,28172534478,28300777904
6000,7,0.92392721062440963386563907988602296,0.94859190988223240914578582305693999,0.93548846905401228379872691220953129,2817253447.80000019073486328125,28172534478,28300777904
6000,8,0.96920019790280387272929374375962652,0.86730187537810043973962592644966207,0.91452133315602956997736328048631549,2817253447.80000019073486328125,28172534478,28300777904
6000,9,0.88428098018833034554830874185427092,0.90771478667445948396164112637052312,0.89531706680828659905557742604287341,2817253447.80000019073486328125,28172534478,28300777904
7000,0,0.962012,0.981138,0.971352,3810676337.599999904632568359375,38106763376,38255702736
7000,1,0.91737080842134477443039486388443038,0.98844488844488842538282824534690008,0.95137754219502546071396409388398752,3810676337.599999904632568359375,38106763376,38255702736
7000,2,0.98299176105800789571276254719123244,0.90685964912280714322889707545982674,0.94273913922424945610600843792781234,3810676337.599999904632568359375,38106763376,38255702736
7000,3,0.93969970051719386994193428108701482,0.95309036658141521591858236206462607,0.94615161221073518227342447062255815,3810676337.599999904632568359375,38106763376,38255702736
7000,4,0.96324514624719559385823686170624569,0.93265490728177302681700666653341614,0.94743093850138948575079211877891794,3810676337.599999904632568359375,38106763376,38255702736
7000,5,0.94608580411751541650033914265804924,0.93650793650793651146102547500049695,0.94094766688489461792244128446327522,3810676337.599999904632568359375,38106763376,38255702736
7000,6,0.96252204239618666115063660981832072,0.98136645962732926840033087501069531,0.97159274182567201272320289717754349,3810676337.599999904632568359375,38106763376,38255702736
7000,7,0.93323607184216395005194044642848894,0.94974083672713816017818544423789717,0.94096488044280324203327836585231125,3810676337.599999904632568359375,38106763376,38255702736
7000,8,0.97343227091520234672827882604906335,0.88000904568068738509367676670080982,0.92397324256191759594969425961608067,3810676337.599999904632568359375,38106763376,38255702736
7000,9,0.88918446811460916112679342404589988,0.93434607645875256132228514616144821,0.91089872824403139706106458106660284,3810676337.599999904632568359375,38106763376,38255702736
8000,0,0.963181,0.983608,0.973227,4974907723.5,49749077235,49920672893
8000,1,0.91657796368163313438515160669339821,0.98877652933832715920203781934105791,0.95111863512138994369848887799889781,4974907723.5,49749077235,49920672893
8000,2,0.98224309794153596975263553758850321,0.9081468732071142913042649524868466,0.94319461566545581554521504585864022,4974907723.5,49749077235,49920672893
8000,3,0.94287915339002081882568973014713265,0.94356012658227839118296742526581511,0.94291115005171322049903892548172735,4974907723.5,49749077235,49920672893
8000,4,0.9616876858675210693050416921323631,0.92622377622377616290805235621519387,0.94328357573308407868495351067394949,4974907723.5,49749077235,49920672893
8000,5,0.94366044017276795585758009110577404,0.93797564687975631958494204809539951,0.94052891543948002883723802369786426,4974907723.5,49749077235,49920672893
8000,6,0.96207970315025126417651790688978508,0.97862341772151906216237193802953698,0.97006492483394202164248554254299961,4974907723.5,49749077235,49920672893
8000,7,0.93322616145522496733377693090005778,0.95324153757888685500887504531419836,0.94269261740430165819049079800606705,4974907723.5,49749077235,49920672893
8000,8,0.97661428643389791570683655663742684,0.88304853041695141602218654952594079,0.92720481807854304712179782654857263,4974907723.5,49749077235,49920672893
8000,9,0.88300153351036647642047228146111593,0.93340189873417711563519105766317807,0.90720743663551994817595414133393206,4974907723.5,49749077235,49920672893
9000,0,0.966428,0.985556,0.975847,6255586048.6000003814697265625,62555860486,62747207482
9000,1,0.92961293902882702333556608209619299,0.98791919191919197462681268007145263,0.95772703226740973914132837307988666,6255586048.6000003814697265625,62555860486,62747207482
9000,2,0.97867978596360849508073442848399282,0.9200183024479523519190138358680997,0.94792738362531903106855679652653635,6255586048.6000003814697265625,62555860486,62747207482
9000,3,0.95240936732787506713293623761273921,0.94666666666666665630458510349853896,0.94927913928996809911353693678393029,6255586048.6000003814697265625,62555860486,62747207482
9000,4,0.96447282313894411309718179836636409,0.94659090909090914944812311659916304,0.9553181226912730306111143363523297,6255586048.6000003814697265625,62555860486,62747207482
9000,5,0.9393714446679679586083011599839665,0.94473050286058413149703483213670552,0.94187199770116247776741147390566766,6255586048.6000003814697265625,62555860486,62747207482
9000,6,0.96515210040693111270826420877710916,0.9832334581772783632658274655113928,0.97395586897573738216493666186579503,6255586048.6000003814697265625,62555860486,62747207482
9000,7,0.93524372436976732636537690268596634,0.95510180736673544465986651630373672,0.9446840593640295491439928809995763,6255586048.6000003814697265625,62555860486,62747207482
9000,8,0.97527061364143496913214903543121181,0.8846498599439776011621461293543689,0.92747831210573150606535364204319194,6255586048.6000003814697265625,62555860486,62747207482
9000,9,0.90196187081013101671800313852145337,0.93340659340659348774948966820375063,0.91723360714773727320192620027228259,6255586048.6000003814697265625,62555860486,62747207482
10000,0,0.969419,0.986879,0.978024,7719070516.3999996185302734375,77190705164,77403200687
10000,1,0.93190079421365157319456784534850158,0.98813177648040040335075673283427022,0.95898412678971634015567815367830917,7719070516.3999996185302734375,77190705164,77403200687
10000,2,0.97906271603275185633208366198232397,0.92637362637362641315519340423634276,0.95157618877984173622053276631049812,7719070516.3999996185302734375,77190705164,77403200687
10000,3,0.95445101423829081799254936413490213,0.94749504950495055943804345588432625,0.95065869042792494614246834316872992,7719070516.3999996185302734375,77190705164,77403200687
10000,4,0.9683768514833301921385100285988301,0.94519974226804137629187607672065496,0.95658892463042166642850361313321628,7719070516.3999996185302734375,77190705164,77403200687
10000,5,0.9427951180949527554275846341624856,0.95587301587301587435518968050018884,0.94914998640785841477196527193882503,7719070516.3999996185302734375,77190705164,77403200687
10000,6,0.9641830380623093166292392197647132,0.98408910891089096395489832502789795,0.97389299678718221908724217428243719,7719070516.3999996185302734375,77190705164,77403200687
10000,7,0.93327590511388724969776831130729988,0.95572255414488416214169319573557004,0.94408234291518888792182906399830244,7719070516.3999996185302734375,77190705164,77403200687
10000,8,0.98015480712063562940272731793811545,0.88736842105263158408945400879019871,0.93131737830609784278834695214754902,7719070516.3999996185302734375,77190705164,77403200687
10000,9,0.90792538986517268284615056472830474,0.93568686868686867796895967330783606,0.92149350078703307076466444414108992,7719070516.3999996185302734375,77190705164,77403200687
15000,0,0.975692,0.989655,0.982586,17356145698.700000762939453125,173561456987,173880824158
15000,1,0.94752210263196956496756229171296582,0.99237014103887166704964784003095701,0.96936324724807776398449732369044796,17356145698.700000762939453125,173561456987,173880824158
15000,2,0.9841838022688655929215428841416724,0.9398919484140815239214816756430082,0.96136757163194752617840777020319365,17356145698.700000762939453125,173561456987,173880824158
15000,3,0.95299359919306370070302136809914373,0.95024939800481611484883615048602223,0.95150339260500671478837375616421923,17356145698.700000762939453125,173561456987,173880824158
15000,4,0.9813140184857236381077427722630091,0.95866887295458735884778889158042148,0.96978375042851838738755532176583074,17356145698.700000762939453125,173561456987,173880824158
